Reference,Quantity,Value,販売店（参考）,型番,URL,備考
C1 C2 C9,3,0.1uF,秋月電子,太陽誘電チップ積層セラミックコンデンサー０．１μＦ２５Ｖ　Ｆ／Ｙ５Ｖ　１６０８　（１００個入）[TMK107F104ZZ-T][P-13071]1パック ￥100(税込),https://akizukidenshi.com/catalog/g/gP-13071/,
C4 C5,2,4700pF/1kV,マルツ,セラミックコンデンサー 4700pF【CY5P472K1K12D】パッケージ：・静電容量：4700pF・定格電圧：1kVDC・容量許容差：±10％・リードピッチ：5mm,https://www.marutsu.co.jp/GoodsDetail.jsp?q=CY5P472K&salesGoodsCode=226316,
C3 C6 C7,3,0.1uF,秋月電子,"リード型積層セラミックコンデンサー０．１μＦ５０Ｖ　Ｆ　５ｍｍピッチ　（１０個入）[RPEF11H104Z2M1A01A][P-00340]1テープ ￥100(税込)",https://akizukidenshi.com/catalog/g/gP-00340/,
C8,1,560pF,秋月電子,"絶縁ラジアルリード型積層セラミックコンデンサー５６０ｐＦ５０Ｖ５ｍｍ（１０個入）[RDE5C1H561J0K1H03B][P-08111]1パック ￥100(税込)",https://akizukidenshi.com/catalog/g/gP-08111/,
D1,1,LINK LED,aitendo,,,
D2,1,LAN LED,aitendo,,,
IC1,1,CS8900A-CQ3Z,AliExpress,,,
J1,1,LAN_CON,秋月電子,基板取付用ＬＡＮコネクタ（モジュラージャック）（ＲＪ－４５）[7810-8P8C][C-00159]1個 ￥100(税込),https://akizukidenshi.com/catalog/g/gC-00159/,
J2,1,DATA_BUS,秋月電子,ピンヘッダ２×４０（８０Ｐ）[PH-2x40SG][C-00082]1本 ￥50(税込),https://akizukidenshi.com/catalog/g/gC-00082/,折って使う
J3,1,CTRL_BUS,秋月電子,ピンヘッダ２×４０（８０Ｐ）[PH-2x40SG][C-00082]1本 ￥50(税込),https://akizukidenshi.com/catalog/g/gC-00082/,折って使う
J4,1,PWR,秋月電子,ピンヘッダ２×３（６Ｐ）[PH-2x3SG][C-15825]1本 ￥10(税込) 数割有,https://akizukidenshi.com/catalog/g/gC-15825/,
R1 R2,2,560Ω,千石電商,カーボン抵抗 1/4W 560Ω±5% RD25J 560Ω,,
R3,1,100K,千石電商,カーボン抵抗 1/4W 100KΩ±5% RD25J 100KΩ,,
R4,1,4.99K 1%,秋月電子,"超精密級 金属皮膜チップ抵抗器　１６０８　１／１０Ｗ４．９９ｋΩ０．１％（５個入）[RG1608N-4991B-T5][R-11794]1パック ￥100(税込)",https://akizukidenshi.com/catalog/g/gR-11794/,
R6 R7,2,8.2 1%,千石電商,金属被膜抵抗器 1/4W 8.2Ω±1% RLC25FX 8.2Ω,,
R8,1,"100, 1%",千石電商,金属被膜抵抗器 1/4W 100Ω±1% RLC25FY 100Ω,,
TR1,1,E2023EL,"マルツ, AliExpress",,,
U1 U2,2,TC7S32FU,秋月電子,２入力ＯＲゲートＴＣ７Ｓ３２ＦＵ（５個入）[TC7S32FU][I-10465]1パック ￥150(税込),https://akizukidenshi.com/catalog/g/gI-10465/,
U3,1,TC7SH00FU,秋月電子,２入力ＮＡＮＤ ＴＣ７ＳＨ００ＦＵ（１０個入）[TC7SH00FULJ(CB][I-15748]1パック ￥100(税込),https://akizukidenshi.com/catalog/g/gI-15748/,
Y2,1,20MHz,秋月電子,クリスタル（水晶発振子）２０ＭＨｚ[HUSG-20.000-20][P-08673]1個 ￥30(税込),https://akizukidenshi.com/catalog/g/gP-08673/,